feature,importance_mean,importance_std
Weight,0.7130236054084342,0.015073786641922129
Height,0.26752331849914474,0.015690317282083196
Gender,0.13279281197640364,0.01572132702811398
Age,0.06162118888007473,0.004144993382177615
NCP,0.031647421381501915,0.004988539237610468
TUE,0.0304000646932867,0.007229619957208608
CALC,0.027504018205614468,0.007427962129023426
FCVC,0.025414983748231777,0.0062759933432266985
FAF,0.02493643339254258,0.007339099638309895
CH2O,0.022351897666900312,0.0035495218270492008
MTRANS,0.017434028080738784,0.004223518910225329
CAEC,0.013732311188314517,0.005206475326267952
SCC,0.0105751160428879,0.00140532856225244
FAVC,0.010382213964078579,0.0033350030322150427
family_history_with_overweight,-0.0010459509102359044,0.0023021484458612697
SMOKE,-0.002582053610209134,0.0
