,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Gender,2111,2,Male,1068,,,,,,,
Age,2111.0,,,,24.312599908574136,6.345968273732234,14.0,19.947192,22.77789,26.0,61.0
Height,2111.0,,,,1.7016773533870204,0.09330481986792007,1.45,1.63,1.700499,1.768464,1.98
Weight,2111.0,,,,86.58605812648035,26.1911717452047,39.0,65.473343,83.0,107.430682,173.0
family_history_with_overweight,2111,2,yes,1726,,,,,,,
FAVC,2111,2,yes,1866,,,,,,,
FCVC,2111.0,,,,2.4190430615821885,0.5339265785033002,1.0,2.0,2.385502,3.0,3.0
NCP,2111.0,,,,2.6856280497394596,0.7780386488418612,1.0,2.658738,3.0,3.0,4.0
CAEC,2111,4,Sometimes,1765,,,,,,,
SMOKE,2111,2,no,2067,,,,,,,
CH2O,2111.0,,,,2.0080114040738986,0.6129534517968722,1.0,1.5848125,2.0,2.47742,3.0
SCC,2111,2,no,2015,,,,,,,
FAF,2111.0,,,,1.0102976958787304,0.850592430836698,0.0,0.124505,1.0,1.6666775,3.0
TUE,2111.0,,,,0.657865923732828,0.6089272596763782,0.0,0.0,0.62535,1.0,2.0
CALC,2111,4,Sometimes,1401,,,,,,,
MTRANS,2111,5,Public_Transportation,1580,,,,,,,
NObeyesdad,2111,7,Obesity_Type_I,351,,,,,,,
